Name,Type ,Icon (Property),Description,Status,Price,ContinuousTrapCardEffect,FlipSummonTrapCardEffect,LogicalActivationRequirement,MonsterAttackingTrapCardEffect,MonsterEffectActivationTrapCardEffect,NormalSummonTrapCardEffect,NormalTrapCardEffect,RitualSummonTrapCardEffect,SpecialSummonTrapCardEffect,SpellCardActivationTrapCardEffect,TrapCardActivationTrapCardEffect,UserReplyForActivation
Trap Hole,Trap,Normal,When your opponent Normal or Flip Summons 1 monster with 1000 or more ATK: Target that monster; destroy that target.,Unlimited,2000,",",",IF_ATK_IS_AT_LEAST_1000_ATK_DESTROY_IT",",NORMAL_SUMMONED_MONSTER_MUST_HAVE_AT_LEAST_1000_ATK,FLIP_SUMMONED_MONSTER_MUST_HAVE_AT_LEAST_1000_ATK",",",",",",IF_ATK_IS_AT_LEAST_1000_ATK_DESTROY_IT",",",",",",",",",",",","
Mirror Force,Trap,Normal,When an opponent's monster declares an attack: Destroy all your opponent's Attack Position monsters.,Unlimited,2000,",",",",",",",DESTROY_ALL_OPPONENT_ATTACK_POSITION_MONSTERS",",",",",",",",",",",",",",",","
Magic Cylinder,Trap,Normal,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict damage to your opponent equal to its ATK.",Unlimited,2000,",",",",",",",NEGATE_OPPONENT_ATTACK,INFLICT_DAMAGE_TO_OPPONENT_EQUAL_TO_MONSTERS_ATK",",",",",",",",",",",",",",",","
Mind Crush,Trap,Normal,"Declare 1 card name; if that card is in your opponent's hand, they must discard all copies of it, otherwise you discard 1 random card.",Unlimited,2000,",",",",",OWNER_MUST_HAVE_AT_LEAST_ONE_CARD_IN_HAND,OPPONENT_MUST_HAVE_AT_LEAST_ONE_CARD_IN_HAND",",",",",",",",OPPONENT_DISCARDS_ALL_CARDS_WITH_A_GIVEN_NAME_OTHERWISE_OWNER_LOSES_ONE_RANDOM_CARD",",",",",",",",",",ENTER_NAME_OF_A_CARD"
Torrential Tribute,Trap,Normal,When a monster(s) is Summoned: Destroy all monsters on the field.,Unlimited,2000,",",",",",",",",",",",DESTROY_ALL_MONSTERS_ON_FIELD",",",",",",",",",",",","
Time Seal,Trap,Normal,Skip the Draw Phase of your opponent's next turn.,Limited,2000,",",",",",",",",",",",",",SKIP_OPPONENT_DRAW_PHASE_NEXT_TURN",",",",",",",",",","
Negate Attack,Trap,Counter,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, then end the Battle Phase.",Unlimited,3000,",",",",",",",NEGATE_OPPONENT_ATTACK,END_BATTLE_PHASE",",",",",",",",",",",",",",",","
Solemn Warning,Trap,Counter,"When a monster(s) would be Summoned, OR when a Spell/Trap Card, or monster effect, is activated that includes an effect that Special Summons a monster(s): Pay 2000 LP; negate the Summon or activation, and if you do, destroy it.",Unlimited,3000,",",",PAY_2000_LP,NEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",",MONSTER_IS_SUMMONED_OR_SPELL_TRAP_MONSTER_EFFECT_INCLUDING_SPECIAL_SUMMONING",",",",PAY_2000_LP,NEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",",PAY_2000_LP,NEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",",",",PAY_2000_LPNEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",",PAY_2000_LP,NEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",",PAY_2000_LP,NEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",",PAY_2000_LP,NEGATE_ACTIVATION_OR_SUMMONING_AND_DESTROY_CARD",","
Magic Jamamer,Trap,Counter,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",Unlimited,3000,",",",",",OWNER_MUST_HAVE_AT_LEAST_ONE_CARD_IN_HAND",",",",",",",",",",",",",",DISCARD_1_CARD_NEGATE_DESTROY_CARD",",",",DISCARD_1_CARD"
Call of The Haunted,Trap,Continuous,"Activate this card by targeting 1 monster in your GY; Special Summon that target in Attack Position. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.",Unlimited,3500,",",",",",OWNER_MUST_HAVE_AT_LEAST_ONE_MONSTER_IN_THEIR_GY",",SPECIAL_SUMMON_ONE_MONSTER_IN_YOUR_GRAVEYARD_IN_FACE_UP_ATTACK_POSITION",",",",",",SPECIAL_SUMMON_ONE_MONSTER_IN_YOUR_GRAVEYARD_IN_FACE_UP_ATTACK_POSITION",",",",",",",",",",CHOOSE_ONE_MONSTER_FROM_OWNERS_GRAVEYARD_TO_SPECIAL_SUMMON"
